video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00240001_2024-10-24_2_d20e1fe870,0:02:19,0.17,0.25,0.24,False,False,False,0.4
00240001_2024-11-03_2_d90e24b7c0,0:19:08,0.91,1.0,1.0,True,True,True,0.4
00240001_2024-11-06_2_3a7315e875,0:10:36,0.96,1.03,1.01,True,True,True,0.4
00240001_2024-11-15_3_ca95101c24,0:03:34,0.26,0.31,0.35,False,False,False,0.4
00240001_2024-11-24_1_059ae62957,0:01:09,0.37,0.39,0.37,False,False,False,0.4
00240001_2024-12-06_1_c4af2793ed,0:14:39,0.23,0.17,0.68,False,False,True,0.4
00240001_2024-12-06_3_608b6c115a,0:12:20,0.21,0.22,0.39,False,False,False,0.4
00240001_2024-12-15_1_70d8ac4823,0:10:06,0.25,0.32,0.28,False,False,False,0.4
00270001_2023-04-02_1_ba0dbdd306,0:10:35,0.26,0.32,0.29,False,False,False,0.4
00270001_2023-06-07_H15M37S08_6b1d7d125e,0:02:04,0.22,0.24,0.29,False,False,False,0.4
00270001_2023-06-10_H18M09S22_0f9cad757f,0:02:55,0.13,0.12,0.22,False,False,False,0.4
00270001_2023-06-10_H18M09S22_0f9cad757f,0:04:53,0.19,0.35,0.37,False,False,False,0.4
00270001_2023-06-11_H09M16S10_ebba98c7e5,0:04:32,0.2,0.26,0.28,False,False,False,0.4
00270001_2023-07-04_H15M46S26_9c1a319c33,0:01:02,0.81,0.96,0.9,True,True,True,0.4
00270001_2023-07-06_H06M52S30_214a7ec81a,0:04:20,0.15,0.16,0.13,False,False,False,0.4
00270001_2023-07-06_H06M57S30_4eda1d3a59,0:00:32,0.22,0.18,0.24,False,False,False,0.4
00270001_2023-07-13_H09M39S52_6d69222edf,0:04:41,0.25,0.26,0.28,False,False,False,0.4
00270001_2023-07-13_H09M44S52_7dec9c69dd,0:04:30,0.26,0.3,0.52,False,False,True,0.4
00270001_2023-08-06_H08M27S18_3e8214443d,0:00:19,0.41,0.4,0.37,True,True,False,0.4
00270001_2023-08-09_H19M07S24_eef7fe0139,0:00:18,0.22,0.39,0.33,False,False,False,0.4
00270001_2023-08-14_H18M17S56_e6b90cbbca,0:03:17,0.43,0.47,0.39,True,True,False,0.4
00270001_2023-08-14_H18M47S56_f81c409d5f,0:04:15,0.27,0.18,0.62,False,False,True,0.4
00270001_2023-08-15_H18M24S56_fb00e4c0f2,0:00:03,0.31,0.37,0.52,False,False,True,0.4
00270001_2023-09-04_H16M01S36_928e929550,0:01:09,0.27,0.3,0.23,False,False,False,0.4
00270001_2023-09-04_H16M01S36_928e929550,0:04:59,0.16,0.3,0.3,False,False,False,0.4
00270001_2023-09-07_H06M42S26_ef7fa16730,0:01:45,0.34,0.25,0.71,False,False,True,0.4
00270001_2023-09-07_H06M57S26_f71d89a6da,0:04:16,0.24,0.23,0.16,False,False,False,0.4
00270001_2023-09-09_H18M27S28_c4ba2fba80,0:01:30,0.32,0.15,0.49,False,False,True,0.4
00270001_2023-09-09_H18M57S28_e54313b4c3,0:03:31,0.28,0.29,0.29,False,False,False,0.4
00270001_2023-09-09_H19M02S28_94c9094220,0:03:22,0.19,0.22,0.22,False,False,False,0.4
00270001_2023-10-17_H15M56S24_de2b3b3bd3,0:04:05,0.38,0.44,0.32,False,True,False,0.4
00270001_2023-10-24_H16M23S34_bae16e9074,0:04:13,0.17,0.18,0.16,False,False,False,0.4
00270001_2023-10-24_H16M33S34_1d812ae45c,0:03:13,0.25,0.27,0.25,False,False,False,0.4
00270001_2023-11-08_H19M06S34_f28f15d776,0:03:32,0.19,0.25,0.21,False,False,False,0.4
00270001_2023-11-11_H09M06S26_ff8f2ebc58,0:00:28,0.27,0.21,0.33,False,False,False,0.4
00270001_2023-11-16_H08M54S28_75c4237139,0:01:40,0.24,0.24,0.23,False,False,False,0.4
00270001_2023-11-17_H09M10S24_816d5a84ab,0:02:04,0.26,0.26,0.43,False,False,True,0.4
00270001_2023-11-17_H09M15S24_13b5e4a63a,0:01:11,0.76,0.3,0.8,True,False,True,0.4
00270001_2023-11-17_H09M15S24_13b5e4a63a,0:01:55,0.28,0.28,0.27,False,False,False,0.4
00270001_2023-11-22_H19M34S10_fcc009e024,0:00:17,0.15,0.21,0.17,False,False,False,0.4
00270001_2023-11-23_H17M50S52_d61ecf759f,0:03:03,0.16,0.18,0.24,False,False,False,0.4
00270001_2023-12-20_H19M19S26_86735b5f11,0:00:58,0.17,0.24,0.16,False,False,False,0.4
00270001_2024-01-05_H19M43S12_1ea9802854,0:04:30,0.18,0.21,0.22,False,False,False,0.4
00270001_2024-01-22_H11M57S44_67aed84307,0:02:24,0.77,0.56,0.85,True,True,True,0.4
00270001_2024-01-28_H10M25S54_f1ebdc0b7e,0:03:15,0.22,0.18,0.21,False,False,False,0.4
