superseded_gcp_name_feb25,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00510002_2024-09-04_1_c8bd74be5b,0:08:20,0.77,0.52,0.75,True,True,True,0.4
00510002_2024-09-04_2_d4963a1868,0:03:02,0.39,0.38,0.62,False,False,True,0.4
00510002_2024-09-04_2_d4963a1868,0:12:37,0.18,0.15,0.16,False,False,False,0.4
00510002_2024-09-04_3_7fc16356bf,0:03:59,0.35,0.5,0.48,False,True,True,0.4
00510002_2024-09-04_4_25ce873c73,0:10:11,0.3,0.36,0.32,False,False,False,0.4
00510002_2024-09-04_5_1cc715c878,0:04:26,0.21,0.25,0.23,False,False,False,0.4
00510002_2024-09-04_5_1cc715c878,0:10:23,0.26,0.26,0.25,False,False,False,0.4
00510002_2024-09-05_1_12b6f731e8,0:06:59,0.23,0.26,0.23,False,False,False,0.4
00510002_2024-09-05_1_12b6f731e8,0:08:40,0.22,0.29,0.54,False,False,True,0.4
00510002_2024-09-05_2_a4acb4e4ac,0:01:53,0.48,0.31,0.72,True,False,True,0.4
00510002_2024-09-05_2_a4acb4e4ac,0:12:15,0.13,0.2,0.13,False,False,False,0.4
00510002_2024-09-05_3_8a7772d26f,0:01:07,0.24,0.23,0.18,False,False,False,0.4
00510002_2024-09-05_3_8a7772d26f,0:03:51,0.27,0.31,0.29,False,False,False,0.4
00510002_2024-09-05_3_8a7772d26f,0:11:07,0.34,0.41,0.37,False,True,False,0.4
00510002_2024-09-09_1_324af914b7,0:01:50,0.83,0.7,0.83,True,True,True,0.4
00510002_2024-09-09_2_321380e9e2,0:02:55,0.23,0.27,0.25,False,False,False,0.4
00510002_2024-09-09_2_321380e9e2,0:08:01,0.3,0.39,0.54,False,False,True,0.4
00510002_2024-09-09_4_35f0ce5fca,0:08:15,0.45,0.64,0.63,True,True,True,0.4
00510002_2024-09-09_5_cca7628a57,0:06:04,0.3,0.39,0.37,False,False,False,0.4
00510002_2024-09-10_1_de3d0dc184,0:01:56,0.43,0.49,0.6,True,True,True,0.4
00510002_2024-09-10_1_de3d0dc184,0:05:55,0.28,0.32,0.3,False,False,False,0.4
00510002_2024-09-10_1_de3d0dc184,0:10:38,0.33,0.22,0.66,False,False,True,0.4
00510002_2024-09-10_2_33757afc1d,0:04:20,0.99,1.05,1.04,True,True,True,0.4
00510002_2024-09-10_2_33757afc1d,0:08:54,0.32,0.3,0.4,False,False,True,0.4
00510002_2024-09-10_3_698426d34e,0:06:38,0.38,0.17,0.6,False,False,True,0.4
00510002_2024-09-16_1_75b741954d,0:06:12,0.24,0.26,0.26,False,False,False,0.4
00510002_2024-09-16_2_c5b020df5f,0:04:22,0.19,0.29,0.21,False,False,False,0.4
00510002_2024-09-16_3_66050bdb42,0:02:17,0.82,0.97,0.97,True,True,True,0.4
00510002_2024-09-16_3_66050bdb42,0:04:25,0.41,0.41,0.4,True,True,True,0.4
00510002_2024-09-16_3_66050bdb42,0:05:21,0.3,0.19,0.55,False,False,True,0.4
00510002_2024-09-16_3_66050bdb42,0:10:46,0.27,0.31,0.27,False,False,False,0.4
00510002_2024-09-16_3_66050bdb42,0:11:39,0.28,0.34,0.32,False,False,False,0.4
00510002_2024-09-16_4_5fd80e8b98,0:09:23,0.44,0.49,0.49,True,True,True,0.4
00510002_2024-09-16_4_5fd80e8b98,0:11:11,0.31,0.25,0.8,False,False,True,0.4
00510002_2024-09-16_5_cdc7183cc3,0:04:52,0.26,0.27,0.36,False,False,False,0.4
00510002_2024-09-16_5_cdc7183cc3,0:08:41,0.75,0.22,0.85,True,False,True,0.4
00510002_2024-09-16_5_cdc7183cc3,0:08:42,0.65,0.2,0.81,True,False,True,0.4
00510002_2024-09-17_1_a51f9b0887,0:07:51,0.19,0.23,0.3,False,False,False,0.4
00510002_2024-09-17_1_a51f9b0887,0:09:13,0.2,0.27,0.26,False,False,False,0.4
00510002_2024-09-17_1_a51f9b0887,0:11:37,0.27,0.29,0.33,False,False,False,0.4
00510002_2024-09-17_2_059427a6f6,0:00:22,0.91,0.95,0.94,True,True,True,0.4
00510002_2024-09-17_2_059427a6f6,0:02:18,0.16,0.17,0.27,False,False,False,0.4
00510002_2024-09-17_2_059427a6f6,0:06:24,0.18,0.24,0.44,False,False,True,0.4
00510002_2024-09-17_2_059427a6f6,0:08:34,0.22,0.33,0.54,False,False,True,0.4
00510002_2024-09-17_2_059427a6f6,0:11:25,0.27,0.2,0.69,False,False,True,0.4
00510002_2024-09-17_2_059427a6f6,0:12:46,0.35,0.36,0.53,False,False,True,0.4
00510002_2024-09-17_3_57f901b8d0,0:05:50,0.15,0.17,0.17,False,False,False,0.4
00510002_2024-09-17_3_57f901b8d0,0:05:54,0.36,0.53,0.48,False,True,True,0.4
00510002_2024-09-17_3_57f901b8d0,0:06:09,0.39,0.49,0.48,False,True,True,0.4
00510002_2024-09-17_3_57f901b8d0,0:09:12,0.54,0.7,0.7,True,True,True,0.4
00510002_2024-09-23_1_2b3a4171df,0:01:45,0.82,0.78,0.71,True,True,True,0.4
00510002_2024-09-23_1_2b3a4171df,0:10:01,0.31,0.44,0.39,False,True,False,0.4
00510002_2024-09-23_1_2b3a4171df,0:10:39,0.12,0.14,0.12,False,False,False,0.4
00510002_2024-09-23_3_5804f2b44c,0:02:53,0.42,0.67,0.63,True,True,True,0.4
00510002_2024-09-23_3_5804f2b44c,0:08:38,0.35,0.39,0.43,False,False,True,0.4
00510002_2024-09-23_4_035d757520,0:01:37,0.49,0.48,0.51,True,True,True,0.4
00510002_2024-09-23_4_035d757520,0:05:16,0.27,0.32,0.3,False,False,False,0.4
00510002_2024-09-23_5_f98f290419,0:02:37,0.14,0.16,0.26,False,False,False,0.4
00510002_2024-09-27_1_4bc44bcdd0,0:01:05,0.46,0.27,0.67,True,False,True,0.4
00510002_2024-09-27_1_4bc44bcdd0,0:08:20,0.87,0.98,0.96,True,True,True,0.4
00510002_2024-09-27_1_4bc44bcdd0,0:09:18,0.71,0.85,0.77,True,True,True,0.4
00510002_2024-09-27_2_a2a1522e18,0:03:56,0.89,0.95,0.93,True,True,True,0.4
00510002_2024-09-27_2_a2a1522e18,0:04:57,0.43,0.2,0.77,True,False,True,0.4
00510002_2024-09-27_2_a2a1522e18,0:05:52,0.47,0.39,0.46,True,False,True,0.4
00510002_2024-09-27_2_a2a1522e18,0:07:15,0.41,0.35,0.62,True,False,True,0.4
00510002_2024-09-30_1_58782749fa,0:05:45,0.17,0.22,0.53,False,False,True,0.4
00510002_2024-09-30_1_58782749fa,0:11:50,0.26,0.13,0.24,False,False,False,0.4
00510002_2024-09-30_1_58782749fa,0:12:17,0.29,0.18,0.81,False,False,True,0.4
00510002_2024-09-30_3_d2b19dd1a6,0:04:15,0.57,0.63,0.64,True,True,True,0.4
00510002_2024-09-30_4_34d39d5a26,0:00:08,0.32,0.46,0.44,False,True,True,0.4
00510002_2024-09-30_5_aa7bb8bd39,0:12:44,0.91,0.99,0.95,True,True,True,0.4
00510002_2024-10-01_1_0062667320,0:06:06,0.25,0.29,0.27,False,False,False,0.4
00510002_2024-10-01_2_00b8364ce4,0:02:39,0.56,0.87,0.85,True,True,True,0.4
00510002_2024-10-01_2_00b8364ce4,0:13:42,0.94,1.03,0.99,True,True,True,0.4
00510002_2024-10-07_2_0cc5319500,0:03:00,0.5,0.64,0.64,True,True,True,0.4
00510002_2024-10-07_2_0cc5319500,0:07:59,0.48,0.22,0.73,True,False,True,0.4
00510002_2024-10-07_2_0cc5319500,0:11:03,0.91,0.98,0.99,True,True,True,0.4
00510002_2024-10-07_2_0cc5319500,0:13:42,0.93,1.0,0.97,True,True,True,0.4
00510002_2024-10-07_3_532297b681,0:00:06,0.43,0.57,0.55,True,True,True,0.4
00510002_2024-10-07_4_d80d0681d2,0:00:17,0.31,0.32,0.32,False,False,False,0.4
00510002_2024-10-07_4_d80d0681d2,0:09:45,0.81,0.86,0.64,True,True,True,0.4
00510002_2024-10-07_4_d80d0681d2,0:09:59,0.89,1.0,0.96,True,True,True,0.4
00510002_2024-10-07_5_0609c70dd5,0:00:28,0.31,0.43,0.4,False,True,True,0.4
00510002_2024-10-07_5_0609c70dd5,0:01:01,0.36,0.39,0.45,False,False,True,0.4
00510002_2024-10-08_2_f770259765,0:02:09,0.76,0.88,0.85,True,True,True,0.4
00510002_2024-10-08_2_f770259765,0:03:53,0.25,0.28,0.38,False,False,False,0.4
00510002_2024-10-08_2_f770259765,0:12:24,0.39,0.22,0.71,False,False,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:04:09,0.44,0.54,0.51,True,True,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:06:55,0.58,0.29,0.79,True,False,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:06:59,0.33,0.27,0.48,False,False,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:09:10,0.26,0.2,0.58,False,False,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:09:52,0.67,0.3,0.88,True,False,True,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:10:56,0.23,0.24,0.2,False,False,False,0.4
00510002_2024-10-08_3_8bc23bdbd9,0:11:41,0.45,0.25,0.66,True,False,True,0.4
00510002_2024-10-14_1_8628d8faac,0:13:02,0.26,0.22,0.24,False,False,False,0.4
00510002_2024-10-14_3_327c45b7c7,0:08:25,0.6,0.72,0.72,True,True,True,0.4
00510002_2024-10-14_4_4b4f28a9db,0:12:07,0.19,0.23,0.59,False,False,True,0.4
00510002_2024-10-14_5_d4a55b319a,0:01:16,0.28,0.29,0.29,False,False,False,0.4
00510002_2024-10-14_5_d4a55b319a,0:04:13,0.26,0.39,0.75,False,False,True,0.4
00510002_2024-10-15_1_9d8efa5e5d,0:09:55,0.15,0.17,0.62,False,False,True,0.4
00510002_2024-10-15_2_9182bf819f,0:02:52,0.21,0.25,0.25,False,False,False,0.4
00510002_2024-10-15_3_f4ab0c0bbd,0:04:44,0.44,0.57,0.55,True,True,True,0.4
00510002_2024-10-15_3_f4ab0c0bbd,0:08:11,0.25,0.29,0.32,False,False,False,0.4
00510002_2024-10-15_3_f4ab0c0bbd,0:08:32,0.35,0.34,0.52,False,False,True,0.4
00510002_2024-10-21_1_ff96a4206f,0:07:36,0.76,0.83,0.82,True,True,True,0.4
00510002_2024-10-21_2_5eca927fb6,0:02:06,0.65,0.67,0.76,True,True,True,0.4
00510002_2024-10-21_2_5eca927fb6,0:10:43,0.23,0.25,0.6,False,False,True,0.4
00510002_2024-10-21_3_845db07c35,0:11:52,0.56,0.65,0.64,True,True,True,0.4
00510002_2024-10-21_4_c5c5817414,0:03:15,0.34,0.49,0.47,False,True,True,0.4
00510002_2024-10-21_4_c5c5817414,0:07:31,0.92,0.99,0.97,True,True,True,0.4
00510002_2024-10-21_4_c5c5817414,0:10:56,0.31,0.37,0.35,False,False,False,0.4
00510002_2024-10-21_4_c5c5817414,0:13:23,0.6,0.71,0.69,True,True,True,0.4
00510002_2024-10-22_1_c66b060162,0:02:08,0.36,0.44,0.43,False,True,True,0.4
00510002_2024-10-22_1_c66b060162,0:03:59,0.25,0.36,0.35,False,False,False,0.4
00510002_2024-10-22_1_c66b060162,0:05:06,0.14,0.18,0.23,False,False,False,0.4
00510002_2024-10-22_1_c66b060162,0:09:18,0.28,0.33,0.49,False,False,True,0.4
